Database,Version,Table,Year,System,Flow,Satellite account,Unit,Region,Sector,Item,Value
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Production of electricity by Geothermal,131400.80301489655
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Production of electricity by biomass and waste,656720.0285947694
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Production of electricity by coal,2657520.6004055017
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Production of electricity by gas,511649.04228594824
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Production of electricity by hydro,620.8472808124326
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Production of electricity by nuclear,0.0
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Production of electricity by petroleum and other oil derivatives,583485.2895563777
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Production of electricity by solar photovoltaic,4055685.1843566624
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Production of electricity by solar thermal,0.0
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,"Production of electricity by tide, wave, ocean",0.0
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Production of electricity by wind,194446.2643825162
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Production of electricity nec,0.0
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Production of electricity by Geothermal,0.0
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Production of electricity by biomass and waste,5383388.495807747
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Production of electricity by coal,10299696.425384182
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Production of electricity by gas,11029730.969829708
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Production of electricity by hydro,5843.622425220732
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Production of electricity by nuclear,0.0
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Production of electricity by petroleum and other oil derivatives,5234278.678878403
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Production of electricity by solar photovoltaic,16591.37962090722
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Production of electricity by solar thermal,3681.238475844592
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,"Production of electricity by tide, wave, ocean",0.0
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Production of electricity by wind,146746.727278695
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Production of electricity nec,1851.7501697911528
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Production of electricity by Geothermal,0.0
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Production of electricity by biomass and waste,2715295.278092267
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Production of electricity by coal,4644428.813902893
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Production of electricity by gas,4458106.864195762
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Production of electricity by hydro,432091.47090584773
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Production of electricity by nuclear,8698.508524891866
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Production of electricity by petroleum and other oil derivatives,219314.54845085798
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Production of electricity by solar photovoltaic,119884.96579388592
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Production of electricity by solar thermal,0.0
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,"Production of electricity by tide, wave, ocean",0.0
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Production of electricity by wind,26217835.990907956
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Production of electricity nec,487740.6844333142
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Production of electricity by Geothermal,0.0
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Production of electricity by biomass and waste,305467.036646592
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Production of electricity by coal,21965431.71861363
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Production of electricity by gas,17533.19557046074
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Production of electricity by hydro,3929.0181032704063
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Production of electricity by nuclear,0.0
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Production of electricity by petroleum and other oil derivatives,1568542.3115664697
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Production of electricity by solar photovoltaic,0.0
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Production of electricity by solar thermal,0.0
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,"Production of electricity by tide, wave, ocean",0.0
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Production of electricity by wind,10853139.583331186
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Production of electricity nec,0.016017258845090795
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Production of electricity by Geothermal,0.0
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Production of electricity by biomass and waste,46301.53360474939
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Production of electricity by coal,237448374.4451551
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Production of electricity by gas,62613519.72472234
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Production of electricity by hydro,421.6132200357313
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Production of electricity by nuclear,3014.012176875909
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Production of electricity by petroleum and other oil derivatives,79816301.7151576
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Production of electricity by solar photovoltaic,0.0
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Production of electricity by solar thermal,0.0
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,"Production of electricity by tide, wave, ocean",0.0
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Production of electricity by wind,782795.8611693588
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Production of electricity nec,147829397.1422192
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,Production of electricity by Geothermal,0.0
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,Production of electricity by biomass and waste,898931.0147344983
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,Production of electricity by coal,24062332.32503675
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,Production of electricity by gas,12917020.538912022
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,Production of electricity by hydro,30040.843966804234
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,Production of electricity by nuclear,0.0
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,Production of electricity by petroleum and other oil derivatives,20009826.147945385
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,Production of electricity by solar photovoltaic,1451441697.3707361
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,Production of electricity by solar thermal,0.0
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,"Production of electricity by tide, wave, ocean",2966770091.54247
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,Production of electricity by wind,3970458.2643625946
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,Production of electricity nec,10418418.63105562
EXIOBASE,3.8.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,CH,Sector,Production of electricity by Geothermal,0.0
