Database,Version,Table,Year,System,Flow,Satellite account,Unit,Region,Sector,Item,Value
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Electricity by Geothermal,0.0
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Electricity by biomass and waste,2702964.1325692628
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Electricity by coal,2839516.45968576
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Electricity by gas,3479655.517389421
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Electricity by hydro,4671.707040989379
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Electricity by nuclear,0.0
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Electricity by petroleum and other oil derivatives,330586.74272776226
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Electricity by solar photovoltaic,13147.283976917946
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Electricity by solar thermal,0.0
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,"Electricity by tide, wave, ocean",0.0
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Electricity by wind,93.10328684746325
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Electricity by Geothermal,0.0
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Electricity by biomass and waste,128024.17922954705
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Electricity by coal,14084572.707595298
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Electricity by gas,5651697.73900424
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Electricity by hydro,135497.7345521038
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Electricity by nuclear,0.0
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Electricity by petroleum and other oil derivatives,4757385.583061671
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Electricity by solar photovoltaic,5462.4025860803995
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Electricity by solar thermal,17907768.70510162
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,"Electricity by tide, wave, ocean",0.0
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Electricity by wind,1000.3624333283551
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Electricity by Geothermal,0.0
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Electricity by biomass and waste,6026586.311747724
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Electricity by coal,936477.8004289052
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Electricity by gas,6329893.580167641
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Electricity by hydro,56779.796683220346
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Electricity by nuclear,748.3554280523132
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Electricity by petroleum and other oil derivatives,1643406.3482045063
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Electricity by solar photovoltaic,11950.547468113495
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Electricity by solar thermal,0.0
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,"Electricity by tide, wave, ocean",0.0
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Electricity by wind,763.0779009609814
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Electricity by Geothermal,0.0
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Electricity by biomass and waste,983577.5811757685
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Electricity by coal,13605333.084646676
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Electricity by gas,8301238.194274564
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Electricity by hydro,2334.4128851195496
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Electricity by nuclear,169.46203977211138
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Electricity by petroleum and other oil derivatives,442132.20263531577
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Electricity by solar photovoltaic,208.37656299671082
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Electricity by solar thermal,0.0
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,"Electricity by tide, wave, ocean",0.0
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Electricity by wind,763.0740916409484
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Electricity by Geothermal,0.0
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Electricity by biomass and waste,124744.1563310881
EXIOBASE,3.9.5,IOT,2022,pxp,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Electricity by coal,15887089.096848747
