Database,Version,Table,Year,Flow,Satellite account,Unit,Region,Sector,Item,Value,Level
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,CY,Activity,Production of electricity by gas,0.0,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,CY,Activity,Production of electricity by nuclear,0.0,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,CY,Activity,Production of electricity by hydro,0.0,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,CY,Activity,Production of electricity by wind,0.2825673237922339,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,CY,Activity,Production of electricity by petroleum and other oil derivatives,8.287674509274776,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,CY,Activity,Production of electricity by biomass and waste,0.05204713792372753,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,CY,Activity,Production of electricity by solar photovoltaic,0.012373063290549031,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,CY,Activity,Production of electricity by solar thermal,0.0,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,CY,Activity,"Production of electricity by tide, wave, ocean",0.0,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,CY,Activity,Production of electricity by Geothermal,0.0,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,CY,Activity,Production of electricity nec,0.0,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,CZ,Activity,Production of electricity by coal,2.6194943102056247,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,CZ,Activity,Production of electricity by gas,0.48158120638915886,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,CZ,Activity,Production of electricity by nuclear,0.04268626780187537,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,CZ,Activity,Production of electricity by hydro,0.0003218791030089409,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,CZ,Activity,Production of electricity by wind,189.8114365361434,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,CZ,Activity,Production of electricity by petroleum and other oil derivatives,1.330918793611875,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,CZ,Activity,Production of electricity by biomass and waste,0.42672526285021745,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,CZ,Activity,Production of electricity by solar photovoltaic,1573.2309820648054,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,CZ,Activity,Production of electricity by solar thermal,0.0,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,CZ,Activity,"Production of electricity by tide, wave, ocean",0.0,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,CZ,Activity,Production of electricity by Geothermal,0.0,Activity
