Database,Version,Table,Year,System,Flow,Satellite account,Unit,Region,Sector,Item,Value
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Production of electricity by Geothermal,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Production of electricity by biomass and waste,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Production of electricity by coal,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Production of electricity by gas,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Production of electricity by hydro,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Production of electricity by nuclear,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Production of electricity by petroleum and other oil derivatives,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Production of electricity by solar photovoltaic,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Production of electricity by solar thermal,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,"Production of electricity by tide, wave, ocean",0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Production of electricity by wind,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Production of electricity nec,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Production of electricity by Geothermal,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Production of electricity by biomass and waste,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Production of electricity by coal,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Production of electricity by gas,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Production of electricity by hydro,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Production of electricity by nuclear,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Production of electricity by petroleum and other oil derivatives,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Production of electricity by solar photovoltaic,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Production of electricity by solar thermal,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,"Production of electricity by tide, wave, ocean",0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Production of electricity by wind,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Production of electricity nec,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Production of electricity by Geothermal,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Production of electricity by biomass and waste,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Production of electricity by coal,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Production of electricity by gas,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Production of electricity by hydro,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Production of electricity by nuclear,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Production of electricity by petroleum and other oil derivatives,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Production of electricity by solar photovoltaic,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Production of electricity by solar thermal,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,"Production of electricity by tide, wave, ocean",0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Production of electricity by wind,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Production of electricity nec,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Production of electricity by Geothermal,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Production of electricity by biomass and waste,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Production of electricity by coal,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Production of electricity by gas,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Production of electricity by hydro,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Production of electricity by nuclear,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Production of electricity by petroleum and other oil derivatives,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Production of electricity by solar photovoltaic,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Production of electricity by solar thermal,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,"Production of electricity by tide, wave, ocean",0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Production of electricity by wind,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Production of electricity nec,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Production of electricity by Geothermal,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Production of electricity by biomass and waste,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Production of electricity by coal,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Production of electricity by gas,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Production of electricity by hydro,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Production of electricity by nuclear,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Production of electricity by petroleum and other oil derivatives,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Production of electricity by solar photovoltaic,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Production of electricity by solar thermal,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,"Production of electricity by tide, wave, ocean",0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Production of electricity by wind,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Production of electricity nec,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,Production of electricity by Geothermal,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,Production of electricity by biomass and waste,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,Production of electricity by coal,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,Production of electricity by gas,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,Production of electricity by hydro,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,Production of electricity by nuclear,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,Production of electricity by petroleum and other oil derivatives,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,Production of electricity by solar photovoltaic,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,Production of electricity by solar thermal,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,"Production of electricity by tide, wave, ocean",0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,Production of electricity by wind,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,Production of electricity nec,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,CH,Sector,Production of electricity by Geothermal,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,CH,Sector,Production of electricity by biomass and waste,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,CH,Sector,Production of electricity by coal,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,CH,Sector,Production of electricity by gas,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,CH,Sector,Production of electricity by hydro,0.0
EXIOBASE,3.10.2,IOT,2023,ixi,Intensity,GHG,kg CO2eq/M.EUR,CH,Sector,Production of electricity by nuclear,0.0
