Database,Version,Table,Year,System,Flow,Satellite account,Unit,Region,Sector,Item,Value
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Electricity by Geothermal,6910.595194225087
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Electricity by biomass and waste,3009371.2256570673
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Electricity by coal,10547907.781036299
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Electricity by gas,3579871.593498247
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Electricity by hydro,907.1544466644978
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Electricity by nuclear,6910.569827775264
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Electricity by petroleum and other oil derivatives,963344.762081685
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Electricity by solar photovoltaic,545.3740888657985
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Electricity by solar thermal,0.0
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,"Electricity by tide, wave, ocean",0.0
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Electricity by wind,585.992913939787
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Electricity by Geothermal,2875.130166284581
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Electricity by biomass and waste,112337.17523419479
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Electricity by coal,10006223.036724105
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Electricity by gas,3440022.3186819744
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Electricity by hydro,15289.432985062704
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Electricity by nuclear,47374.56706139098
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Electricity by petroleum and other oil derivatives,2423290.205334689
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Electricity by solar photovoltaic,12558.952903691332
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Electricity by solar thermal,54442.692191081514
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,"Electricity by tide, wave, ocean",13874.059385872433
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Electricity by wind,5463.498849048414
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Electricity by Geothermal,90036.91809398924
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Electricity by biomass and waste,8261905.847988128
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Electricity by coal,178658.7306594792
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Electricity by gas,11440307.389700357
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Electricity by hydro,19380.411646758468
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Electricity by nuclear,919.8225093563476
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Electricity by petroleum and other oil derivatives,2071278.7688250237
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Electricity by solar photovoltaic,9940.188792726523
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Electricity by solar thermal,0.0
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,"Electricity by tide, wave, ocean",58029.11484024608
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Electricity by wind,1613.389509815812
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Electricity by Geothermal,4178.920318335923
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Electricity by biomass and waste,134091.34524524206
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Electricity by coal,25774096.884235118
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Electricity by gas,3159433.3231675033
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Electricity by hydro,4187.7666589863165
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Electricity by nuclear,87.72570856869397
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Electricity by petroleum and other oil derivatives,611621.2096319421
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Electricity by solar photovoltaic,112.75060427511887
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Electricity by solar thermal,0.0
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,"Electricity by tide, wave, ocean",42121.9563653829
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Electricity by wind,11262.57828195125
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Electricity by Geothermal,0.0
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Electricity by biomass and waste,43852.18590802024
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Electricity by coal,11359912.918347353
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Electricity by gas,3758048.833093978
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Electricity by hydro,61.26894065633212
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Electricity by nuclear,0.009022182178049051
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Electricity by petroleum and other oil derivatives,5406891.716463896
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Electricity by solar photovoltaic,669.3554944659184
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Electricity by solar thermal,0.0
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,"Electricity by tide, wave, ocean",0.0
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Electricity by wind,2.441908520179751
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,Electricity by Geothermal,627781.3567830909
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,Electricity by biomass and waste,1784147.5261989774
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,Electricity by coal,26156868.49849044
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,Electricity by gas,9379770.165759023
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,Electricity by hydro,57447.748725871665
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,Electricity by nuclear,18825.033065208216
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,Electricity by petroleum and other oil derivatives,22316755.430416044
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,Electricity by solar photovoltaic,84149.17235433996
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,Electricity by solar thermal,359218.0814373347
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,"Electricity by tide, wave, ocean",130347.88895513852
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,Electricity by wind,82366.42749545725
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CH,Sector,Electricity by Geothermal,16922.6518909455
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CH,Sector,Electricity by biomass and waste,14112.35591520799
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CH,Sector,Electricity by coal,5799.4167211988215
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CH,Sector,Electricity by gas,851376.7307437258
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CH,Sector,Electricity by hydro,6978.061138734471
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CH,Sector,Electricity by nuclear,1974.5420407398997
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CH,Sector,Electricity by petroleum and other oil derivatives,421552.4505832489
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CH,Sector,Electricity by solar photovoltaic,3695.7796999167517
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CH,Sector,Electricity by solar thermal,21276.623529306693
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CH,Sector,"Electricity by tide, wave, ocean",37793.62924423596
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CH,Sector,Electricity by wind,16698.368974164852
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CN,Sector,Electricity by Geothermal,433218.9174499882
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CN,Sector,Electricity by biomass and waste,506398.275656173
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CN,Sector,Electricity by coal,18741893.154853206
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CN,Sector,Electricity by gas,5025118.187507256
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CN,Sector,Electricity by hydro,859579.1526148267
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CN,Sector,Electricity by nuclear,248060.56001051137
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CN,Sector,Electricity by petroleum and other oil derivatives,4545813.63359568
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CN,Sector,Electricity by solar photovoltaic,2009.110458798366
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CN,Sector,Electricity by solar thermal,775.4334114411674
EXIOBASE,3.9.5,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CN,Sector,"Electricity by tide, wave, ocean",69939.3085003686
