Database,Version,Table,Year,System,Flow,Satellite account,Unit,Region,Sector,Item,Value,Type
EXIOBASE,3.10.2,IOT,2017,ixi,Footprint,GHG,g/kWh,MT,Sector,Production T&D of electricity,190.14678848608756,Monetary
EXIOBASE,3.10.2,IOT,2017,ixi,Footprint,GHG,g/kWh,NL,Sector,Production T&D of electricity,256.590592100254,Monetary
EXIOBASE,3.10.2,IOT,2017,ixi,Footprint,GHG,g/kWh,PL,Sector,Production T&D of electricity,460.65315463881325,Monetary
EXIOBASE,3.10.2,IOT,2017,ixi,Footprint,GHG,g/kWh,PT,Sector,Production T&D of electricity,290.1763749293302,Monetary
EXIOBASE,3.10.2,IOT,2017,ixi,Footprint,GHG,g/kWh,RO,Sector,Production T&D of electricity,360.45032820616694,Monetary
EXIOBASE,3.10.2,IOT,2017,ixi,Footprint,GHG,g/kWh,SE,Sector,Production T&D of electricity,9.457080745711066,Monetary
EXIOBASE,3.10.2,IOT,2017,ixi,Footprint,GHG,g/kWh,SI,Sector,Production T&D of electricity,217.9393708037583,Monetary
EXIOBASE,3.10.2,IOT,2017,ixi,Footprint,GHG,g/kWh,SK,Sector,Production T&D of electricity,167.9947647633772,Monetary
EXIOBASE,3.10.2,IOT,2017,ixi,Footprint,GHG,g/kWh,US,Sector,Production T&D of electricity,464.42393131893846,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,AT,Commodity,"Electric power generation, transmission and distribution",0.0,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,BE,Commodity,"Electric power generation, transmission and distribution",0.0,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,BG,Commodity,"Electric power generation, transmission and distribution",0.0,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,CY,Commodity,"Electric power generation, transmission and distribution",0.0,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,CZ,Commodity,"Electric power generation, transmission and distribution",0.0,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,DE,Commodity,"Electric power generation, transmission and distribution",0.0,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,DK,Commodity,"Electric power generation, transmission and distribution",0.0,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,ES,Commodity,"Electric power generation, transmission and distribution",0.0,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,EE,Commodity,"Electric power generation, transmission and distribution",0.0,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,FI,Commodity,"Electric power generation, transmission and distribution",0.0,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,FR,Commodity,"Electric power generation, transmission and distribution",0.0,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,HR,Commodity,"Electric power generation, transmission and distribution",0.0,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,HU,Commodity,"Electric power generation, transmission and distribution",0.0,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,IE,Commodity,"Electric power generation, transmission and distribution",0.0,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,IT,Commodity,"Electric power generation, transmission and distribution",0.0,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,LT,Commodity,"Electric power generation, transmission and distribution",0.0,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,LU,Commodity,"Electric power generation, transmission and distribution",0.0,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,LV,Commodity,"Electric power generation, transmission and distribution",0.0,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,MT,Commodity,"Electric power generation, transmission and distribution",0.0,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,NL,Commodity,"Electric power generation, transmission and distribution",0.0,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,PL,Commodity,"Electric power generation, transmission and distribution",0.0,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,PT,Commodity,"Electric power generation, transmission and distribution",0.0,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,RO,Commodity,"Electric power generation, transmission and distribution",0.0,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,SK,Commodity,"Electric power generation, transmission and distribution",0.0,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,SI,Commodity,"Electric power generation, transmission and distribution",0.0,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,SE,Commodity,"Electric power generation, transmission and distribution",0.0,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,US,Commodity,"Electric power generation, transmission and distribution",0.0,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,AT,Commodity,"Electric power generation, transmission and distribution",155.19405001806487,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,BE,Commodity,"Electric power generation, transmission and distribution",187.50596589984417,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,BG,Commodity,"Electric power generation, transmission and distribution",731.602530955146,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,CY,Commodity,"Electric power generation, transmission and distribution",554.3883511612087,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,CZ,Commodity,"Electric power generation, transmission and distribution",461.59442015728894,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,DE,Commodity,"Electric power generation, transmission and distribution",270.34313423415,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,DK,Commodity,"Electric power generation, transmission and distribution",154.37124116550333,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,ES,Commodity,"Electric power generation, transmission and distribution",270.7157981176768,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,EE,Commodity,"Electric power generation, transmission and distribution",647.2946796378864,Monetary
