Database,Version,Table,Year,Flow,Satellite account,Unit,Region,Sector,Item,Value
EMERGING,1.0,IOT,2017,Intensity,GHG,Mt CO2eq/current million US$,ABW,Sector,electricity,0.0025077294606747225
EMERGING,1.0,IOT,2017,Intensity,GHG,Mt CO2eq/current million US$,AFG,Sector,electricity,0.04068311528149326
EMERGING,1.0,IOT,2017,Intensity,GHG,Mt CO2eq/current million US$,AGO,Sector,electricity,0.04293726748114085
EMERGING,1.0,IOT,2017,Intensity,GHG,Mt CO2eq/current million US$,AIA,Sector,electricity,7.132422315784623e-06
EMERGING,1.0,IOT,2017,Intensity,GHG,Mt CO2eq/current million US$,ALB,Sector,electricity,0.0
EMERGING,1.0,IOT,2017,Intensity,GHG,Mt CO2eq/current million US$,AND,Sector,electricity,0.0030467531139806007
EMERGING,1.0,IOT,2017,Intensity,GHG,Mt CO2eq/current million US$,ANT,Sector,electricity,0.0
EMERGING,1.0,IOT,2017,Intensity,GHG,Mt CO2eq/current million US$,BES,Sector,electricity,0.0008279485612575153
EMERGING,1.0,IOT,2017,Intensity,GHG,Mt CO2eq/current million US$,CUW,Sector,electricity,0.00048052757297059617
EMERGING,1.0,IOT,2017,Intensity,GHG,Mt CO2eq/current million US$,ARE,Sector,electricity,2.590006511756793
EMERGING,1.0,IOT,2017,Intensity,GHG,Mt CO2eq/current million US$,ARG,Sector,electricity,0.001964177002008196
EMERGING,1.0,IOT,2017,Intensity,GHG,Mt CO2eq/current million US$,ARM,Sector,electricity,0.001849411477783116
EMERGING,1.0,IOT,2017,Intensity,GHG,Mt CO2eq/current million US$,ASM,Sector,electricity,0.0009076745870856275
EMERGING,1.0,IOT,2017,Intensity,GHG,Mt CO2eq/current million US$,ATA,Sector,electricity,0.0
EMERGING,1.0,IOT,2017,Intensity,GHG,Mt CO2eq/current million US$,ATF,Sector,electricity,0.00034023289849763674
EMERGING,1.0,IOT,2017,Intensity,GHG,Mt CO2eq/current million US$,ATG,Sector,electricity,0.0002988260732123271
EMERGING,1.0,IOT,2017,Intensity,GHG,Mt CO2eq/current million US$,AUS,Sector,electricity,0.007598040383332536
EMERGING,1.0,IOT,2017,Intensity,GHG,Mt CO2eq/current million US$,AUT,Sector,electricity,0.00032434132814342516
EMERGING,1.0,IOT,2017,Intensity,GHG,Mt CO2eq/current million US$,AZE,Sector,electricity,0.0063215209793338265
EMERGING,1.0,IOT,2017,Intensity,GHG,Mt CO2eq/current million US$,BDI,Sector,electricity,0.033320739492809344
EMERGING,1.0,IOT,2017,Intensity,GHG,Mt CO2eq/current million US$,BEL,Sector,electricity,0.00018566394583966546
EMERGING,1.0,IOT,2017,Intensity,GHG,Mt CO2eq/current million US$,BEN,Sector,electricity,0.04997275589933102
EMERGING,1.0,IOT,2017,Intensity,GHG,Mt CO2eq/current million US$,BFA,Sector,electricity,0.03929746065942076
EMERGING,1.0,IOT,2017,Intensity,GHG,Mt CO2eq/current million US$,BGD,Sector,electricity,0.0040808970644553725
EMERGING,1.0,IOT,2017,Intensity,GHG,Mt CO2eq/current million US$,BGR,Sector,electricity,0.005133325752534146
