Database,Version,Table,Year,Flow,Satellite account,Unit,Region,Sector,Item,Value
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,CHL,Sector,"Electricity, Gas and Water",0.0014535474198081265
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,CHN,Sector,"Electricity, Gas and Water",0.00508690987463721
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,COL,Sector,"Electricity, Gas and Water",0.0005942452306375391
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,COG,Sector,"Electricity, Gas and Water",0.0016305673706823473
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,CRI,Sector,"Electricity, Gas and Water",0.001085672781431193
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,HRV,Sector,"Electricity, Gas and Water",0.002056669313569073
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,CUB,Sector,"Electricity, Gas and Water",0.008181573480450613
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,CYP,Sector,"Electricity, Gas and Water",0.0055911083840135475
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,CZE,Sector,"Electricity, Gas and Water",0.0024164662520193185
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,CIV,Sector,"Electricity, Gas and Water",0.0015015327433422754
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,PRK,Sector,"Electricity, Gas and Water",0.005434607726871897
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,COD,Sector,"Electricity, Gas and Water",0.0003813273587360576
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,DNK,Sector,"Electricity, Gas and Water",0.002415363508414846
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,DJI,Sector,"Electricity, Gas and Water",0.013678483824951952
